Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
01.03.06;#000.8000;;Geländepunkt ;Punkt;0
01.03.06;#000.8000;;Geländebruchkante;Linie;0
01.03.06;#000.8001;;Trigonometrischer Punkt;Punkt;1
01.03.06;#000.8002;;Aufnahmepunkt (amtl.);Punkt;2
01.03.06;#000.8003;;Höhenfestpunkt (amtl.);Punkt;3
01.03.06;#000.8004;;Querprofil Bezugspunkt, Paßpunkt ;Punkt;4
01.03.06;#000.8004;;Querprofil (Profillinie);Linie;4
01.03.06;#000.8005;;Festpunkt (SBV), Polygonpunkt;Punkt;5
01.03.06;#000.8005;;Visierlinie Netz ;Linie;5
01.03.06;#000.8006;;Höhenfestpunkt (SBV);Punkt;6
01.03.06;#000.8007;;Böschung unten;Linie ;7
01.03.06;#000.8008;;Böschung oben;Linie;8
01.03.06;#000.8009;;geländeunabhängiger Punkt;Punkt;9
01.03.06;#000.8010;;Fahrbahnmitte / Achskleinpunkt;Punkt;10
01.03.06;#000.8010;;Fahrbahnmitte (Linien zur Darstellung von Straßen in kleinmaßstäblichen Plänen);Linie;10
01.03.06;#001.8000;;Querneigung 0 % in Achse;Punkt;100
01.03.06;#001.8001;;Querneigungswechsel;Punkt;101
01.03.06;#001.8001;;Autobahn;Linie;101
01.03.06;#001.8002;;Querneigungsänderung;Punkt;102
01.03.06;#001.8002;;Bundesstraße;Linie;102
01.03.06;#001.8003;;Gradiente - Tangentenschnittpunkt;Punkt;103
01.03.06;#001.8003;;Landesstraße;Linie;103
01.03.06;#001.8004;;Gradiente - Ausrundung Anfang;Punkt;104
01.03.06;#001.8004;;Kreisstraße;Linie;104
01.03.06;#001.8005;;Gradiente - Ausrundung Ende;Punkt;105
01.03.06;#001.8005;;sonstige Straßen;Linie;105
01.03.06;#001.8006;;Gradiente - Hochpunkt;Punkt;106
01.03.06;#001.8006;;Wege;Linie;106
01.03.06;#001.8007;;Gradiente - Tiefpunkt;Punkt;107
01.03.06;#001.8007;;Bestandsachse ASB;Linie;107
01.03.06;#001.8008;;Sichtdreieck Standpunkt;Punkt;108
01.03.06;#001.8008;;Fahrbahnachse ASB;Linie;108
01.03.06;#001.8009;;Sichtdreieck Zielpunkt;Punkt;109
01.03.06;#000.8011;;Fahrbahnrand;Punkt;11
01.03.06;#000.8011;;Fahrbahnrand;Linie;11
01.03.06;#001.8010;;Achskleinpunkt mit Abstand rechts;Punkt;110
01.03.06;#001.8011;;Fahrbahnrand aus berechneten Koordinaten;Punkt;111
01.03.06;#001.8011;;Fahrbahnrand aus berechneten Koordinaten;Linie;111
