Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;CAD-Ebene
25.10.01;0719.0000;1.4.1;Gitterkreuz;Punkt;M50;30
25.10.01;0719.0000;1.4.1;Gitternetzlinien;Linie;0,18 ;30
25.10.01;0719.0001;;Schneiderahmen / Faltmarkierung;Linie;0,18 ;30
25.10.01;0719.0002;;Heftrand;Linie;0,18 ;30
25.10.01;0719.0003;;Koordinatenrahmen;Linie;0,50;30
25.10.01;0719.0004;;Innenrahmen;Linie;0,18 ;30
25.10.01;0719.0005;;Gitternetzbeschriftung;Text;2,5;30
25.10.01;0719.0006;;Eckpunktbeschriftung;Text;5,0;30
25.10.01;0719.0007;;Information im Schneiderahmen;Text;3,5;30
25.10.01;0039.0000;1.4.2;Nordpfeil;Punkt;M51;30
25.10.01;0161.0000;2.1.1;Hochpunkt;Punkt;U03;34
04.12.12;0161.0000;2.1.1;Hochpunkt;Text;1,8 / S / frei platzierbar;34
25.10.01;0162.0000;2.1.1;Bodenpunkt;Punkt;U03;34
04.12.12;0162.0000;2.1.1;Bodenpunkt;Text;1,8 / S / frei platzierbar;34
25.10.01;0164.0000;2.1.1;Exzentrum (oberirdisch);Punkt;U03;34
04.12.12;0164.0000;2.1.1;Exzentrum (oberirdisch);Text;1,8 / S / frei platzierbar;34
25.10.01;0165.0000;2.1.1;Exzentrum (unterirdisch);Punkt;U03;34
04.12.12;0165.0000;2.1.1;Exzentrum (unterirdisch);Text;1,8 / S / frei platzierbar;34
25.10.01;0121.0000;2.1.2;Polygonpunkt;Punkt;U05;34
25.10.01;0121.0000;2.1.2;Polygonpunkt;Text;1,8 / S / frei platzierbar;34
06.06.03;0122.0000;2.1.2;Aufnahmepunkt;Punkt;U06;34
25.10.01;0122.0000;2.1.2;Aufnahmepunkt;Text;1,8 / S / frei platzierbar;34
05.03.13;0122.C001;;Sonstiger Lagefestpunkt / Aufnahmepunkt;Punkt;U06;34
05.03.13;0122.C001;;Sonstiger Lagefestpunkt / Aufnahmepunkt;Text;1,8 / S / frei platzierbar;34
25.10.01;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Punkt;U05;34
25.10.01;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Text;1,8 / S / frei platzierbar ;34
25.10.01;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Punkt;U07;34
06.06.03;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Text;1,8 / S / frei platzierbar;34
11.09.02;0126.C001;;Beobachtungspfeiler;Punkt;U07;34
04.12.12;0126.C001;;Beobachtungspfeiler;Text;1,8 / S / frei platzierbar;34
05.03.13;0126.C002;;Messpunkte / Beobachtungspunkte / Messmarken;Punkt;U09;134
05.03.13;0126.C002;;Messpunkte / Beobachtungspunkte / Messmarken;Text;1,8 / S / frei platzierbar ;134
05.03.13;0126.C002;;Sichten zwischen Punkten;Linie;H34;134
25.10.01;0123.0000;2.1.4;Kleinpunkt  (vermarkt);Punkt;U08;34
25.10.01;0123.0000;2.1.4;Kleinpunkt  (vermarkt);Text;1,8 / S / frei platzierbar;34
25.10.01;0141.0000;2.1.6.1;Pfeilerbolzen;Punkt;U09;34
25.10.01;0141.0000;2.1.6.1;Pfeilerbolzen;Text;1,8 / S / frei platzierbar;34
18.06.02;0142.0000;2.1.6.2;Mauerbolzen;Punkt;U10;34
18.06.02;0142.0000;2.1.6.2;Mauerbolzen;Text;1,8 / S / frei platzierbar;34
25.10.01;0144.0000;2.1.6.3;Höhenmarke;Punkt;U09;34
25.10.01;0144.0000;2.1.6.3;Höhenmarke;Text;1,8 / S / frei platzierbar;34
05.03.13;0144.C001;;Sonstiger Höhenfestpunkt;Punkt;U09;34
05.03.13;0144.C001;;Sonstiger Höhenfestpunkt;Text;1,8 / S / frei platzierbar;34
25.10.01;0147.0000;2.1.6.4;HP = PP;Punkt;U11;34
25.10.01;0147.0000;2.1.6.4;HP = PP;Text;1,8 / S / frei platzierbar;34
25.10.01;8091.0000;2.1.7.1;Lattenpegel;Punkt;V52;101
25.10.01;8091.0000;2.1.7.1;Lattenpegel;Text;1,8 / S / frei platzierbar;101
12.09.02;8091.C001;;Pegel;Punkt;V52;101
04.12.12;8091.C001;;Pegel;Text;1,8 / S / frei platzierbar;101
25.10.01;8092.0000;2.1.7.2;Schreibpegel;Punkt;V52;101
04.12.12;8092.0000;2.1.7.2;Schreibpegel;Text;1,8 / S / frei platzierbar;101
25.10.01;8093.0000;2.1.7.3;Hochwasserpegel;Punkt;V52;101
25.10.01;8093.0000;2.1.7.3;Hochwasserpegel;Text;1,8 / S / frei platzierbar;101
25.10.01;8095.0000;2.1.7.4;Eichpfahl;Punkt;V52;101
