Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Farbe;Block;Neue Ordnerstruktur
22.09.2016;V8299.6T01;;Beschriftung Gelände allgemein;Text;;19;1;allgemein
22.09.2016;V8250.6001;;Gelände;Punkt;X01;19;1;allgemein
22.09.2016;V8250.6L01;;Gelände;Linie;00;19;1;allgemein
22.09.2016;V8252.6001;;Bruchkante;Punkt;X01;19;1;allgemein
22.09.2016;V8252.6L01;;Bruchkante;Linie;00;19;1;allgemein
22.09.2016;V8256.6001;;Böschung - UK;Punkt;X01;19;1;allgemein
22.09.2016;V8256.6L01;;Böschung - UK;Linie;00;19;1;allgemein
22.09.2016;V8254.6001;;Böschung - OK;Punkt;X01;19;1;allgemein
22.09.2016;V8254.6L01;;Böschung - OK;Linie;00;19;1;allgemein
22.09.2016;V8258.6001;;Graben - Sohle;Punkt;X01;19;1;allgemein
22.09.2016;V8258.6L01;;Graben - Sohle;Linie;00;19;1;allgemein
22.09.2016;V8260.6001;;Graben - Rand;Punkt;X01;19;1;allgemein
22.09.2016;V8260.6L01;;Graben - Rand;Linie;00;19;1;allgemein
22.09.2016;V8262.6001;;Rinne;Punkt;X01;19;1;allgemein
22.09.2016;V8262.6L01;;Rinne;Linie;05;19;1;allgemein
22.09.2016;V8265.6001;;Mulde;Punkt;X01;19;1;allgemein
22.09.2016;V8265.6L01;;Mulde;Linie;00;19;1;allgemein
22.09.2016;V8283.6001;;Mauer - UK;Punkt;X01;19;1;allgemein
22.09.2016;V8283.6L01;;Mauer - UK;Linie;52;19;1;allgemein
22.09.2016;V8286.6001;;Mauer - OK;Punkt;X01;19;1;allgemein
22.09.2016;V8286.6L01;;Mauer - OK;Linie;00;19;1;allgemein
22.09.2016;V8013.6001;;Mauer-HK;Punkt;X01;19;1;allgemein
22.09.2016;V8013.6L01;;Mauer-HK;Linie;00;19;1;allgemein
22.09.2016;V8289.6001;;Zaun;Punkt;X01;19;1;allgemein
22.09.2016;V8289.6L01;;Zaun;Linie;47;19;1;allgemein
22.09.2016;V8292.6001;;Geländer;Punkt;X01;19;1;allgemein
22.09.2016;V8292.6L01;;Geländer;Linie;06;19;1;allgemein
22.09.2016;V8281.6001;;Nutzungsartengrenze;Punkt;X01;19;1;allgemein
22.09.2016;V8281.6L01;;Nutzungsartengrenze;Linie;15;19;1;allgemein
22.09.2016;V8295.6001;;Gabione;Punkt;X01;19;1;allgemein
22.09.2016;V8295.6L01;;Gabione;Linie;Y16;19;1;allgemein
22.09.2016;V8267.6001;;Durchlass;Punkt;Y61;19;1;allgemein
22.09.2016;V8267.6L01;;Durchlass;Linie;Z06;19;1;allgemein
22.09.2016;V8400.6001;;Zufahrt;Punkt;X92;19;1;allgemein
22.09.2016;V8400.6L01;;Zufahrt;Linie;0;19;1;allgemein
22.09.2016;V8401.6001;;Zugang;Punkt;X91;19;1;allgemein
22.09.2016;V8401.6L01;;Zugang;Linie;0;19;1;allgemein
22.09.2016;V8268.6001;;Ufer;Punkt;X01;19;1;allgemein
22.09.2016;V8268.6L01;;Ufer;Linie;30;19;1;allgemein
22.09.2016;V8270.6001;;Wasserspiegel;Punkt;X25;19;1;allgemein
22.09.2016;V8270.6L01;;Wasserspiegel;Linie;30;19;1;allgemein
22.09.2016;V8550.6001;;Pflaster allgemein;Punkt;X01;19;1;allgemein
22.09.2016;V8550.6L01;;Pflaster allgemein;Linie;0;19;1;allgemein
22.09.2016;V8552.6001;;Pflaster Kopfstein;Punkt;X01;19;1;allgemein
22.09.2016;V8552.6L01;;Pflaster Kopfstein;Linie;0;19;1;allgemein
22.09.2016;V8554.6001;;Pflaster Rasengitter;Punkt;X01;19;1;allgemein
22.09.2016;V8554.6L01;;Pflaster Rasengitter;Linie;0;19;1;allgemein
22.09.2016;V8556.6001;;Pflaster Wasserbau;Punkt;X01;19;1;allgemein
22.09.2016;V8556.6L01;;Pflaster Wasserbau;Linie;0;19;1;allgemein
22.09.2016;V8298.6T02;;Beschriftung Gelände allgemein unter BW;Text;;19;1;BW unten
22.09.2016;V8251.6002;;Gelände unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8251.6L02;;Gelände unter BW;Linie;00;19;1;BW unten
22.09.2016;V8253.6002;;Bruchkante unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8253.6L02;;Bruchkante unter BW;Linie;00;19;1;BW unten
22.09.2016;V8257.6002;;Böschung - UK unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8257.6L02;;Böschung - UK unter BW;Linie;00;19;1;BW unten
22.09.2016;V8255.6002;;Böschung - OK unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8255.6L02;;Böschung - OK unter BW;Linie;00;19;1;BW unten
22.09.2016;V8259.6002;;Graben - Sohle unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8259.6L02;;Graben - Sohle unter BW;Linie;00;19;1;BW unten
22.09.2016;V8261.6002;;Graben - Rand unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8261.6L02;;Graben - Rand unter BW;Linie;00;19;1;BW unten
22.09.2016;V8263.6002;;Rinne unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8263.6L02;;Rinne unter BW;Linie;05;19;1;BW unten
22.09.2016;V8266.6002;;Mulde unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8266.6L02;;Mulde unter BW;Linie;00;19;1;BW unten
22.09.2016;V8284.6002;;Mauer - UK unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8284.6L02;;Mauer - UK unter BW;Linie;52;19;1;BW unten
22.09.2016;V8287.6002;;Mauer - OK unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8287.6L02;;Mauer - OK unter BW;Linie;00;19;1;BW unten
22.09.2016;V8014.6002;;Mauer-HK unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8014.6L02;;Mauer-HK unter BW;Linie;00;19;1;BW unten
22.09.2016;V8290.6002;;Zaun unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8290.6L02;;Zaun unter BW;Linie;47;19;1;BW unten
22.09.2016;V8293.6002;;Geländer unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8293.6L02;;Geländer unter BW;Linie;06;19;1;BW unten
22.09.2016;V8282.6002;;Nutzungsartengrenze unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8282.6L02;;Nutzungsartengrenze unter BW;Linie;15;19;1;BW unten
22.09.2016;V8296.6002;;Gabione unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8296.6L02;;Gabione unter BW;Linie;Y16;19;1;BW unten
22.09.2016;V8240.6002;;Durchlass unter BW;Punkt;Y61;19;1;BW unten
22.09.2016;V8240.6L02;;Durchlass unter BW;Linie;Z06;19;1;BW unten
22.09.2016;V8241.6002;;Zufahrt unter BW ;Punkt;X92;19;1;BW unten
22.09.2016;V8241.6L02;;Zufahrt unter BW ;Linie;0;19;1;BW unten
22.09.2016;V8242.6002;;Zugang unter BW ;Punkt;X91;19;1;BW unten
22.09.2016;V8242.6L02;;Zugang unter BW ;Linie;0;19;1;BW unten
22.09.2016;V8269.6002;;Ufer unter BW;Punkt;X01;19;1;BW unten
22.09.2016;V8269.6L02;;Ufer unter BW;Linie;30;19;1;BW unten
22.09.2016;V8271.6002;;Wasserspiegel unter BW;Punkt;X25;19;1;BW unten
22.09.2016;V8271.6L02;;Wasserspiegel unter BW;Linie;30;19;1;BW unten
22.09.2016;V8551.6002;;Pflaster unter BW allgemein;Punkt;X01;19;1;BW unten
22.09.2016;V8551.6L02;;Pflaster unter BW allgemein;Linie;0;19;1;BW unten
22.09.2016;V8553.6002;;Pflaster unter BW Kopfstein;Punkt;X01;19;1;BW unten
22.09.2016;V8553.6L02;;Pflaster unter BW Kopfstein;Linie;0;19;1;BW unten
22.09.2016;V8555.6002;;Pflaster unter BW Rasengitter;Punkt;X01;19;1;BW unten
22.09.2016;V8555.6L02;;Pflaster unter BW Rasengitter;Linie;0;19;1;BW unten
22.09.2016;V8557.6002;;Pflaster unter BW Wasserbau;Punkt;X01;19;1;BW unten
22.09.2016;V8557.6L02;;Pflaster unter BW Wasserbau;Linie;0;19;1;BW unten
22.09.2016;V8248.6T03;;Beschriftung Gelände allgemein oben BW;Text;;19;1;BW oben
22.09.2016;V8264.6003;;Rinne oben BW;Punkt;X01;19;1;BW oben
22.09.2016;V8264.6L03;;Rinne oben BW;Linie;05;19;1;BW oben
22.09.2016;V8285.6003;;Mauer - UK oben BW ;Punkt;X01;19;1;BW oben
22.09.2016;V8285.6L03;;Mauer - UK oben BW ;Linie;52;19;1;BW oben
22.09.2016;V8288.6003;;Mauer - OK oben BW;Punkt;X01;19;1;BW oben
22.09.2016;V8288.6L03;;Mauer - OK oben BW;Linie;00;19;1;BW oben
22.09.2016;V8015.6003;;Mauer-HK oben BW;Punkt;X01;19;1;BW oben
22.09.2016;V8015.6L03;;Mauer-HK oben BW;Linie;00;19;1;BW oben
22.09.2016;V8291.6003;;Zaun oben BW;Punkt;X01;19;1;BW oben
22.09.2016;V8291.6L03;;Zaun oben BW;Linie;47;19;1;BW oben
22.09.2016;V8294.6003;;Geländer oben BW;Punkt;X01;19;1;BW oben
22.09.2016;V8294.6L03;;Geländer oben BW;Linie;06;19;1;BW oben
22.09.2016;V8297.6003;;Gabione oben BW;Punkt;X01;19;1;BW oben
22.09.2016;V8297.6L03;;Gabione oben BW;Linie;Y16;19;1;BW oben
22.09.2016;V8247.6T01;;Beschriftung Sonstiges Gelände;Text;;19;1;Sonstiges Gelände
22.09.2016;V8272.6001;;Brunnen;Punkt;X26;19;1;Sonstiges Gelände
22.09.2016;V8272.6L01;;Brunnen;Linie;0;19;1;Sonstiges Gelände
22.09.2016;V8609.6001;;Denkmal;Punkt;X45;19;1;Sonstiges Gelände
