Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Ebene;Bemerkung
06.12.12;#222.5001;;Geländepunkt;Punkt;a07;1100;
06.12.12;#232.5001;;Geschwindigkeitsmeßanlage;Punkt;a18;1145;
06.12.12;#254.5001;;Telefonmast;Punkt;a33;1400;
06.12.12;#254.5002;;Hochspannungsmast;Punkt;a30;1400;
06.12.12;#254.5003;;Niederspannungsmast;Punkt;a31;1400;
06.12.12;#999.5001;;Litfaßsäule;Punkt;a65;1110;
06.12.12;0039.0000;1.4.2;Nordpfeil;Punkt;M51;1351;
06.12.12;0111.0000;2.6.3.1;Grenzmarken an Staats-, Landesgrenze;Punkt;C01;1010;
06.12.12;0111.0000;2.6.3.1;Grenzmarken an Staats-, Landesgrenze;Text;1;1015;
06.12.12;0112.0000;2.6.3.2;Grenzsäule an Staats-, Landesgrenze;Punkt;C17;1010;
06.12.12;0114.0000;2.7.4.5;Jagenstein, Abteilungsstein;Punkt;G21;1110;
06.12.12;0118.0000;2.6.3.3;Abgemarkter Grenzpunkt;Punkt;C14;1010;
06.12.12;0118.5001;;Grenzpunkt;Punkt;a05;1010;
06.12.12;0119.0000;2.6.3.4;Nicht abgemarkter Grenzpunkt;Punkt;C16;1010;
06.12.12;0121.0000;2.1.2;Polygonpunkt;Punkt;a02;1200;
06.12.12;0121.0000;2.1.2;Polygonpunkt;Text;1;1115;
06.12.12;0122.0000;2.1.2;Aufnahmepunkt;Punkt;a02;1200;
06.12.12;0122.0000;2.1.2;Aufnahmepunkt;Text;1;1200;
06.12.12;0122.5001;;Aufnahmepunkt, Polygonpunkt;Punkt;a02;1200;
25.10.01;0123.0000;2.1.4;Kleinpunkt  (vermarkt), Punkt in Messungslinie;Punkt;E04;1200;
25.10.01;0123.0000;2.1.4;Kleinpunkt  (vermarkt), Punkt in Messungslinie;Text;1;1115;
25.10.01;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Punkt;a03;1200;
06.06.03;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Text;1;1200;
06.12.12;0126.5001;;Beobachtungspfeiler;Punkt;a03;1200;
06.12.12;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Punkt;a02;1200;
06.12.12;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Text;1;1115;
06.12.12;0141.0000;2.1.6.1;Pfeilerbolzen;Punkt;a04;1200;
06.12.12;0141.0000;2.1.6.1;Pfeilerbolzen;Text;1;1115;
06.12.12;0142.0000;2.1.6.2;Mauerbolzen;Punkt;a04;1200;
06.12.12;0142.0000;2.1.6.2;Mauerbolzen;Text;1;1115;
06.12.12;0144.0000;2.1.6.3;Höhenmarke;Punkt;a04;1200;
06.12.12;0144.0000;2.1.6.3;Höhenmarke;Text;1;1115;
06.12.12;0147.0000;2.1.6.4;HP = PP;Punkt;a04;1200;
06.12.12;0147.0000;2.1.6.4;HP = PP;Text;1;1200;
06.12.12;0147.5001;;Höhenpunkt = Polygonpunkt;Punkt;a04;1200;
06.12.12;0162.0000;2.1.1;Bodenpunkt;Punkt;a01;1200;
06.12.12;0211.0000;2.6.1.1;Staatsgrenze;Linie;07;1010;
06.12.12;0212.0000;2.6.1.2;Landesgrenze;Linie;08;1010;
06.12.12;0213.0000;2.6.1.3;Regierungsbezirksgrenze;Linie;09;1010;
06.12.12;0214.0000;2.6.1.4;Kreisgrenze;Linie;10;1010;
06.12.12;0215.0000;2.6.1.5;Gemeindegrenze;Linie;11;1010;
06.12.12;0231.0000;2.6.1.6;Gemarkungsgrenze;Linie;12;1010;
06.12.12;0232.0000;2.6.1.7;Flurgrenze;Linie;13;1010;
06.12.12;0232.0000;3.1.6;Flurnummer;Text;1;1015;
06.12.12;0233.0000;2.6.1.8;Flurstücksgrenze;Linie;14;1010;
06.12.12;0233.0000;3.1.7;Flurstücksnummer;Text;1;1015;
06.12.12;0234.0000;3.1.8;Flurstücksnummer in besonderer Darstellung;Text;1;1015;
06.12.12;0235.0000;2.6.1.9;Strittige Grenze;Linie;I36;1010;
06.12.12;0241.0000;2.2.7.34;Nutzungsartengrenze;Linie;15;1010;
06.12.12;0241.0000;2.2.7.34;Nutzungsartengrenze;Flaeche;0;1010;
06.12.12;0248.0000;2.6.1.10;Flurstücksgrenze als Mittellinie in Gewässern;Linie;I37;1010;
06.12.12;0251.0000;2.2.6;Topographische   (Begrenzungs-) Linie;Linie;H15;1010;
06.12.12;0252.0000;2.2.6.1;Überdeckte topographische (Begrenzungs-) Linie;Linie;H16;1010;
06.12.12;0253.0000;2.3.3.10;Topographische Zuordnungslinie;Linie;67;1100;
06.12.12;0265.0000;2.6.1.11;Bauamtsgrenze;Linie;71;1010;
06.12.12;0266.0000;2.6.1.12;Meistereigrenze;Linie;72;1010;
06.12.12;0271.0000;2.7.5.13;Zollgrenze, nicht gleichzeitig politische Grenze;Linie;I72;1120;
06.12.12;0272.0000;2.7.5.1;Gesetzliche Überschwemmungsgrenze;Linie;I60;1120;
06.12.12;0272.0000;2.7.5.1;Gesetzliche Überschwemmungsgrenze;Text;1;1120;
06.12.12;0273.0000;2.7.5.2;Hochwassergrenze;Linie;I61;1120;
06.12.12;0273.0000;2.7.5.2;Hochwassergrenze;Text;1;1120;
06.12.12;0274.0000;2.7.5.14;Mittleres Tidehochwasser;Linie;I73;1120;
06.12.12;0275.0000;2.7.5.3;Markscheide;Linie;I62;1120;
06.12.12;0276.0000;2.7.5.4;Naturschutzgebietsgrenze;Linie;I63;1120
06.12.12;0277.0000;2.7.5.5;Landschaftsschutz- Gebietsgrenze;Linie;I64;1120
06.12.12;0278.0000;2.7.5.6;Wasserschutzgebietsgrenze;Linie;I65;1170
06.12.12;0279.0000;2.7.5.7;Lärmschutzbereichsgrenze;Linie;I66;1140
06.12.12;0281.0000;2.7.5.8;Heilquellenschutz- Gebietsgrenze;Linie;I67;1170
06.12.12;0282.0000;2.7.5.9;Pegelschutzgebietsgrenze;Linie;I68;1120
06.12.12;0283.0000;2.7.5.10;Denkmalzone (Grenze);Linie;I69;1120
06.12.12;0284.0000;2.7.5.11;Grabungsschutzgebietsgrenze;Linie;I70;1120
06.12.12;0285.0000;2.7.5.12;Altlasten (Grenze);Linie;I71;1120
06.12.12;0286.0000;2.7.5.15;Flurbereinigungsverfahren (Grenze);Linie;I74;1016
06.12.12;0287.0000;2.7.5.16;Umlegungsverfahren (Grenze);Linie;I75;1016
06.12.12;0288.0000;2.7.5.17;Sanierungsverfahren (Grenze);Linie;I76;1016
06.12.12;0289.0000;2.7.5.18;Andere öffentlichrechtliche Grenze;Linie;I77;1010
06.12.12;0289.0000;2.7.5.18;Andere öffentlichrechtliche Grenze;Text;1;1015
06.12.12;0291.0000;2.6.2.1;Zugehörigkeitshaken;Punkt;C06;1010
06.12.12;0292.0000;2.6.2.2;Zuordnungspfeil;Punkt;C31;1010
06.12.12;0311.0000;2.6.4.1;Grenzhecke;Linie;I40;1010;
06.12.12;0312.0000;2.6.4.2;Grenzzaun;Linie;I43;1010;
06.12.12;0313.0000;2.6.4.3;Grenzmauer;Linie;I45;1010;
06.12.12;0315.0000;2.6.4.6;Grenzwall ohne Bewachsung;Linie;I52;1010;
06.12.12;0316.0000;2.6.4.7;Grenzwall mit Bewachsung;Linie;I54;1010;
06.12.12;0317.0000;2.6.4.8;Grenzrain;Linie;I56;1010;
06.12.12;0318.0000;2.6.4.9;Wasserführender Grenzgraben;Linie;I58;1010;
06.12.12;0319.0000;2.6.4.10;Trockener Grenzgraben;Linie;I59;1010;
06.12.12;0321.0000;2.6.4.4;Futtermauer, Stützmauer als Grenzmauer;Linie;I47;1010;
06.12.12;0323.0000;2.6.4.5;Spundmauer als Grenzeinrichtung;Linie;42;1010;
06.12.12;0351.0000;2.2.11;Hecke,  topographisch bedeutend;Linie;50;1110;
06.12.12;0356.0000;2.7.4.9;Hecktor;Punkt;G25;1120;
06.12.12;0411.0000;2.2.3.1;Höhenlinie - 20 Meter;Linie;H07;1120;
06.12.12;0411.0000;2.2.3.1;Höhenlinie - 20 Meter;Text;1;1120;
06.12.12;0412.0000;2.2.3.2;Höhenlinie - 10 Meter;Linie;H08;1120;
06.12.12;0412.0000;2.2.3.2;Höhenlinie - 10 Meter;Text;1;1120;
06.12.12;0413.0000;2.2.3.3;Höhenlinie - 5 Meter;Linie;H9;1120;
06.12.12;0413.0000;2.2.3.3;Höhenlinie - 5 Meter;Text;1;1120;
06.12.12;0414.0000;2.2.3.4;Höhenlinie - 2,5 Meter;Linie;H10;1120;
06.12.12;0414.0000;2.2.3.4;Höhenlinie - 2,5 Meter;Text;1;1120;
06.12.12;0415.0000;2.2.3.5;Höhenlinie - 1 Meter;Linie;H11;1120;
06.12.12;0415.0000;2.2.3.5;Höhenlinie - 1 Meter;Text;1;1120;
06.12.12;0416.0000;2.2.3.6;Höhenlinie - 0,5/0.25 Meter;Linie;H12;1120;
06.12.12;0416.0000;2.2.3.6;Höhenlinie - 0,5/0.25 Meter;Text;1;1120;
06.12.12;0431.0000;2.2.2.1;Höhenpunkt mit Höhenzahl;Punkt;B50;1100;
06.12.12;0431.0001;2.2.2.1;Höhenpunkt mit Höhenzahl;Text;1;1115;
06.12.12;0435.0000;2.2.2.2;Einzelhöhe;Punkt;a07;1100;
06.12.12;0435.0001;2.2.2.2;Einzelhöhe;Text;1;1115;
06.12.12;0441.0000;2.2.4;Fels;Linie;0;1110;
06.12.12;0463.0000;2.2.1.8;Befestigte Böschung;Linie;61;1100;
06.12.12;0474.0000;2.3.9.2;Spundwand;Linie;42;1100;
06.12.12;0481.0000;2.2.1.1;Deutliche Böschungsoberkante;Linie;H01;1100;
06.12.12;0482.0000;2.2.1.3;Undeutliche Böschungsoberkante;Linie;H03;1100;
06.12.12;0484.0000;2.2.1.2;Deutliche Böschungsunterkante;Linie;H02;1100;
06.12.12;0485.0000;2.2.1.4;Undeutliche Böschungsunterkante;Linie;H04;1100;
08.03.2013;0486.0000;2.2.1.6;Böschung (Schraffen);Linie;0;1185;Stift 1
06.12.12;0487.0000;2.2.1.7;Angedeutete Böschungsrichtung erfasst;Linie;H05;1120;
06.12.12;0487.0001;;Angedeutete Böschungsrichtung nicht erfasst;Linie;H06;1120;
06.12.12;0492.0000;2.2.1.5;Böschungshöhe;Text;1;1120;
06.12.12;0611.0000;3.1.1;Stadtgemeinde;Text;1;1015;
06.12.12;0612.0000;3.1.2;Landgemeinde;Text;1;1015;
06.12.12;0617.0000;3.1.3;Stadtbezirk;Text;1;1015;
06.12.12;0618.0000;3.1.4;Gemarkungsname;Text;1;1015;
06.12.12;0646.0000;3.1.5;Gewannbezeichnung Lagebezeichnung;Text;1;1015;
06.12.12;0719.0000;1.4.1;Gitterkreuz;Punkt;M50;1351;
06.12.12;0719.0000;1.4.1;Gitternetzlinien;Linie;0;1351;
06.12.12;0719.0001;;Schneiderahmen / Faltmarkierung;Linie;0;1351;
06.12.12;0719.0002;;Heftrand;Linie;0;1351;
06.12.12;0719.0003;;Koordinatenrahmen;Linie;0;1351
06.12.12;0719.0004;;Innenrahmen;Linie;0;1351
06.12.12;0719.0005;;Gitternetzbeschriftung;Text;1;1351
06.12.12;0719.0006;;Eckpunktbeschriftung;Text;1;1351
06.12.12;0719.0007;;Information im Schneiderahmen;Text;1;1351
06.12.12;0733.0000;3.2.10;Richtungshinweise im Kartenrahmen;Text;1;1015
