Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Ebene;Bemerkung;Kategorie I;Kategorie II
06.12.2012;#222.5001;;Geländepunkt;Punkt;a07;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;#232.5001;;Geschwindigkeitsmeßanlage;Punkt;a18;1145;;Lageplan Bestand;Kartenzeichen RAS-Verm
03.11.2014;#232.5002;;Geschwindigkeitsregelanlage seitlich;Punkt;Z23;1145;;Lageplan Bestand;Kartenzeichen RAS-Verm
03.11.2014;#232.5003;;Geschwindigkeitsregelanlage Brücke;Punkt;Z24;1145;;Lageplan Bestand;Kartenzeichen RAS-Verm
03.11.2014;#232.5003;;Geschwindigkeitsregelanlage Brücke;Linie;n22;1145;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;#254.5001;;Telefonmast;Punkt;a33;1400;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;#254.5002;;Hochspannungsmast;Punkt;a30;1400;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;#254.5003;;Niederspannungsmast;Punkt;a31;1400;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;#999.5001;;Litfaßsäule;Punkt;a65;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0039.0000;1.4.2;Nordpfeil;Punkt;M51;1351;;Lageplan Allgemein;Plangestaltung
06.12.2012;0111.0000;2.6.3.1;Grenzmarken an Staats-, Landesgrenze;Punkt;C01;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0111.0000;2.6.3.1;Grenzmarken an Staats-, Landesgrenze;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0112.0000;2.6.3.2;Grenzsäule an Staats-, Landesgrenze;Punkt;C17;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0114.0000;2.7.4.5;Jagenstein, Abteilungsstein;Punkt;G21;1110;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0118.0000;2.6.3.3;Abgemarkter Grenzpunkt;Punkt;C14;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0118.5001;;Grenzpunkt;Punkt;a05;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0119.0000;2.6.3.4;Nicht abgemarkter Grenzpunkt;Punkt;C16;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0121.0000;2.1.2;Polygonpunkt;Punkt;a02;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0121.0000;2.1.2;Polygonpunkt;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0122.0000;2.1.2;Aufnahmepunkt;Punkt;a02;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0122.0000;2.1.2;Aufnahmepunkt;Text;1;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;#122.5002;;Absteckpunkt;Punkt;Z22;1999;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0122.5001;;Aufnahmepunkt, Polygonpunkt;Punkt;a02;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
25.10.2001;0123.0000;2.1.4;Kleinpunkt  (vermarkt), Punkt in Messungslinie;Punkt;E04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
25.10.2001;0123.0000;2.1.4;Kleinpunkt  (vermarkt), Punkt in Messungslinie;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
25.10.2001;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Punkt;a03;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.06.2003;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Text;1;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0126.5001;;Beobachtungspfeiler;Punkt;a03;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Punkt;a02;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0141.0000;2.1.6.1;Pfeilerbolzen;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0141.0000;2.1.6.1;Pfeilerbolzen;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0142.0000;2.1.6.2;Mauerbolzen;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0142.0000;2.1.6.2;Mauerbolzen;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0144.0000;2.1.6.3;Höhenmarke;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0144.0000;2.1.6.3;Höhenmarke;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0147.0000;2.1.6.4;HP = PP;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0147.0000;2.1.6.4;HP = PP;Text;1;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;#147.5002;;HP Bundesautobahn;Punkt;D03;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;#147.5002;;HP Bundesautobahn;Text;2;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0147.5001;;Höhenpunkt = Polygonpunkt;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0162.0000;2.1.1;Bodenpunkt;Punkt;a01;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0211.0000;2.6.1.1;Staatsgrenze;Linie;p02;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0212.0000;2.6.1.2;Landesgrenze;Linie;p03;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0213.0000;2.6.1.3;Regierungsbezirksgrenze;Linie;p04;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0214.0000;2.6.1.4;Kreisgrenze;Linie;p05;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0215.0000;2.6.1.5;Gemeindegrenze;Linie;p06;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0231.0000;2.6.1.6;Gemarkungsgrenze;Linie;p07;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0232.0000;2.6.1.7;Flurgrenze;Linie;p08;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0232.0000;3.1.6;Flurnummer;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0233.0000;2.6.1.8;Flurstücksgrenze;Linie;p09;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0233.0000;3.1.7;Flurstücksnummer;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0234.0000;3.1.8;Flurstücksnummer in besonderer Darstellung;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0235.0000;2.6.1.9;Strittige Grenze;Linie;p10;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
23.07.2013;0241.0000;2.2.7.34;Nutzungsartengrenze;Linie;m19;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
23.07.2013;0241.0000;2.2.7.34;Nutzungsartengrenze;Flaeche;0;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0248.0000;2.6.1.10;Flurstücksgrenze als Mittellinie in Gewässern;Linie;p11;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
23.07.2013;0251.0000;2.2.6;Topographische   (Begrenzungs-) Linie;Linie;m17;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
23.07.2013;0252.0000;2.2.6.1;Überdeckte topographische (Begrenzungs-) Linie;Linie;m18;1110;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;0253.0000;2.3.3.10;Topographische Zuordnungslinie;Linie;m70;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
11.06.2014;#253.5001;;Fundamentbegrenzungslinie;Linie;2;1100;Stift 2;Lageplan Bestand;Kartenzeichen RAS-Verm
03.11.2014;#254.5001;;Zuordnungspfeil (Pfeilspitze offen);Linie;n26;1115;;Lageplan Allgemein;Plangestaltung
03.11.2014;#254.5002;;Zuordnungspfeil (Pfeilspitze offen Mitte);Linie;n27;1115;;Lageplan Allgemein;Plangestaltung
03.11.2014;#254.5003;;Zuordnungspfeil (Pfeilspitze gefüllt);Linie;n28;1115;;Lageplan Allgemein;Plangestaltung
03.11.2014;#254.5004;;Pfeilspitze offen ;Punkt;Z25;1115;;Lageplan Allgemein;Plangestaltung
