Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
1.1.2012;0114.0000;2.7.4.5;Abteilungsstein, Jagenstein ;Punkt;für Vermessung
1.1.2012;5004.0000;;Achse, Achslinie;Linie;für Vermessung
1.1.2012;6110.0000;2.2.7.1;Acker, Ackerland;Flaeche;für Vermessung
1.1.2012;6110.0000;2.2.7.1;Acker, Ackerland (Nutzungsarten-Gruppensymbol);Punkt;für Vermessung
16.1.2014;19002-0000;;AFIS-Höhenfestpunkt;Punkt;aus AFIS
16.1.2014;19002-0000;;AFIS-Höhenfestpunkt;Text;aus AFIS
16.1.2014;19001-0000;;AFIS-Lagefestpunkt;Punkt;aus AFIS
16.1.2014;19001-0000;;AFIS-Lagefestpunkt;Text;aus AFIS
1.1.2012;8073.7002;;Amphibienleiteinrichtung;Linie;für Vermessung
1.1.2012;5542.0000;2.3.7.1;Anflugbefeuerung (doppelt);Punkt;für Vermessung
1.1.2012;5543.0000;2.3.7.2;Anflugbefeuerung (einfach);Punkt;für Vermessung
1.1.2012;5747.0000;2.7.4.1;Anschlagsäule, Werbefläche;Punkt;für Vermessung
1.1.2012;51002-1270;;Antenne;Flaeche;aus ALKIS
1.1.2012;31002-2400;;Arkade, auskragendes od. zurückspringendes Geschoss;Flaeche;aus ALKIS
1.1.2012;13001-0000;;Aufnahme-/Polygonpunkt;Punkt;aus AFIS
1.1.2012;13001-0000;;Aufnahme-/Polygonpunkt;Text;aus AFIS
16.1.2014;0122.0000;2.1.2;Aufnahmepunkt (der Straßenbauverwaltung);Punkt;für Vermessung
16.1.2014;0122.0000;2.1.2;Aufnahmepunkt (der Straßenbauverwaltung);Text;für Vermessung
16.1.2014;#251.7001;;AUSA-Kabel;Linie;für Vermessung
1.1.2012;9703.0000;2.7.4.13;Aussichtsturm;Punkt;für Vermessung
1.1.2012;9703.0000;2.7.4.13;Aussichtsturm;Text;für Vermessung
1.1.2012;51001-1003;;Aussichtsturm;Flaeche;aus ALKIS
16.1.2014;8401.0001;3.3.6;Bach;Text;für Vermessung
1.1.2012;8401.0000;2.3.8.7;Bach unter 1mm Kartenbreite;Text;für Vermessung
1.1.2012;02320-2506;;Bach, Durchlass, Graben verdolt/unterirdisch/bedeckt;Linie;aus ALKIS
1.1.2012;31001-3091;;Bahnhofsgebäude;Flaeche;aus ALKIS
1.1.2012;5477.0000;2.3.5.1;Bahnschranke;Punkt;für Vermessung
1.1.2012;5446.0000;2.3.6.3;Bandstraße;Linie;für Vermessung
1.1.2012;02320-2504;;Bandstraße, Förderband unter der Erdoberfläche/Wasserfläche;Linie;aus ALKIS
1.1.2012;0265.0000;2.6.1.11;Bauamtsgrenze;Linie;für Vermessung
1.1.2012;7515.0000;2.7.1.5;Baum von besonderer planerischer Bedeutung;Punkt;für Vermessung
16.1.2014;6320.0000;2.2.7.8;Baumschule;Punkt;für Vermessung
16.1.2014;6320.0000;2.2.7.8;Baumschule;Flaeche;für Vermessung
1.1.2012;02310-3446;;Baumschule (Nutzungsarten-Einzelsymbol);Punkt;aus ALKIS
1.1.2012;R2310-3446;;Baumschule (Nutzungsarten-Gruppensymbol);Punkt;aus ALKIS
1.1.2012;51002-0000;;Bauwerk oder Anlage für Industrie und Gewerbe, allgemein;Flaeche;aus ALKIS
