Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Schichtname;Schichtbezeichnung;Art;;;;;
03.02.16;Best.0701 ;2.4.1.;öffentliche Gebäude;Punkt;701;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0701 ;2.4.1.;öffentliche Gebäude;Linie;701;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0801 ;;öffentliche Gebäude;Text;801;08T_Bebauung;Textschicht für Schicht 07Bebauung;Bestandsplan;;;;;
03.02.16;Best.0702 ;2.4.1.;Wohngebäude;Punkt;702;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0702 ;2.4.1.;Wohngebäude;Linie;702;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0802 ;;Wohngebäude;Text;802;08T_Bebauung;Textschicht für Schicht 07Bebauung;Bestandsplan;;;;;
03.02.16;Best.0703 ;2.4.1.;Wirtschafts- und Industriegebäude;Punkt;703;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0703 ;2.4.1.;Wirtschafts- und Industriegebäude;Linie;703;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0803 ;2.4.4.;Wirtschafts- und Industriegebäude;Text;803;08T_Bebauung;Textschicht für Schicht 07Bebauung;Bestandsplan;;;;;
03.02.16;Best.0704 ;2.4.6.;Parkplatz, Parkhaus, Tiefgarage ;Punkt;704;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0704 ;2.4.6.;Parkplatz, Parkhaus, Tiefgarage ;Linie;704;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0804 ;;Parkplatz, Parkhaus, Tiefgarage ;Text;804;08T_Bebauung;Textschicht für Schicht 07Bebauung;Bestandsplan;;;;;
03.02.16;Best.0709 ;2.4.5.;Zufahrt;Punkt;709;07Bebauung;Bebauung (außer LASuV);Bestandsplan;;;;;
03.02.16;Best.0901 ;2.2.2.;Punkt mit Höhenangabe (Gelände);Punkt;901;09Hoehen;Gelände- und Fahrbahnhöhen;Bestandsplan;;;;;
03.02.16;Best.1001;;Punkt mit Höhenangabe (Gelände);Text;1001;10T_Hoehen;Textschicht für Schicht 09Hoehen;Bestandsplan;;;;;
03.02.16;Best.0902 ;;Punkt mit Höhenangabe (Fahrbahn);Punkt;902;09Hoehen;Gelände- und Fahrbahnhöhen;Bestandsplan;;;;;
03.02.16;Best.1002;;Punkt mit Höhenangabe (Fahrbahn);Text;1002;10T_Hoehen;Textschicht für Schicht 09Hoehen;Bestandsplan;;;;;
03.02.16;Best.0903 ;;Punkt mit Höhe (Konstruktionsoberkante);Punkt;903;09Hoehen;Gelände- und Fahrbahnhöhen;Bestandsplan;;;;;
03.02.16;Best.1003;;Punkt mit Höhe (Konstruktionsoberkante);Text;1003;10T_Hoehen;Textschicht für Schicht 09Hoehen;Bestandsplan;;;;;
03.02.16;Best.0998 ;;Punkt mit Höhenangabe (Fahrbahn);Punkt;998;09Hoehen;Gelände- und Fahrbahnhöhen;Bestandsplan;;;;;
03.02.16;Best.0999 ;;Punkt mit Höhenangabe (Fahrbahn);Punkt;999;09Hoehen;Gelände- und Fahrbahnhöhen;Bestandsplan;;;;;
03.02.16;Best.1101;2.7.1.;einzelner Laubbaum;Punkt;1101;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1102;2.7.1.;einzelner Laubbaum, hervorragend;Punkt;1102;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1103;2.7.1.;einzelner Nadelbaum;Punkt;1103;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1104;2.7.1.;einzelner Nadelbaum, hervorragend;Punkt;1104;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1105;2.7.1.;einzelner Obstbaum;Punkt;1105;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1106;2.2.7.;Grünland (Fläche);Punkt;1106;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1107;2.2.7.;Ackerland (Fläche);Punkt;1107;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1108;2.2.7.;Gartenland (Fläche);Punkt;1108;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1109;2.2.7.;Obstbaumanlage (Fläche);Punkt;1109;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1110;2.2.7.;Laubwald (Fläche);Punkt;1110;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1111;2.2.7.;Nadelwald (Fläche);Punkt;1111;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1112;2.2.7.;Mischwald (Fläche);Punkt;1112;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1113;2.2.7.;Moor (Fläche);Punkt;1113;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1114;;Gebüsch (Fläche);Punkt;1114;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1115;2.2.7.;Parkanlage (Fläche);Punkt;1115;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1116;;einzelnes Gebüsch;Punkt;1116;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1117;2.2.7.;Campingplatz (Fläche);Punkt;1117;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1118;2.2.7.;Kleingarten, Schrebergarten, Laubenkolonie (Fläche);Punkt;1118;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1119;2.2.7.;Streuobstwiese (Fläche);Punkt;1119;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1120;2.2.1.1;Böschungsoberkante (deutlich);Punkt;1120;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1120;2.2.1.1;Böschungsoberkante (deutlich);Linie;1120;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1198;;verdeckte Böschungsoberkante (deutlich);Linie;1198;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1121;2.2.1.2;Böschungsunterkante (deutlich);Punkt;1121;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1121;2.2.1.2;Böschungsunterkante (deutlich);Linie;1121;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1199;;verdeckte Böschungsunterkante (deutlich);Linie;1199;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1122;2.2.5.;Steilrand;Punkt;1122;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1122;2.2.5.;Steilrand;Linie;1122;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1222;;Steilrand;Text;1222;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1123;2.2.4.;Fels;Punkt;1123;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1123;2.2.4.;Fels;Linie;1123;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1223;;Fels;Text;1223;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1124;2.2.8.;Zaun;Punkt;1124;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1124;2.2.8.;Zaun;Linie;1124;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1224;;Zaun;Text;1224;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1125    ;;Tür;Punkt;1125;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1126;2.2.7.;Schilf;Punkt;1126;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1127;2.2.1.3;Böschungsoberkante (undeutlich);Punkt;1127;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1127;;Böschungsoberkante (undeutlich);Linie;1127;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1128;2.2.1.4;Böschungsunterkante (undeutlich);Punkt;1128;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1128;;Böschungsunterkante (undeutlich);Linie;1128;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1129;2.2.7.;Nutzungsartengrenze;Punkt;1129;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1129;;Nutzungsartengrenze;Linie;1129;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1130;2.3.8.1;Wasserfläche, feste Uferlinie;Punkt;1130;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1130;;Wasserfläche, feste Uferlinie;Linie;1130;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1230;2.3.8.4;Wasserfläche, feste Uferlinie;Text;1230;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1195;2.3.8.5;verdeckte Uferlinie;Linie;1195;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1131;2.3.8.6;Wasserlauf ? 1mm Kartenbreite;Punkt;1131;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1131;;Wasserlauf ? 1mm Kartenbreite;Linie;1131;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1231;;Wasserlauf ? 1mm Kartenbreite;Text;1231;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1196;;verdeckter Wasserlauf;Linie;1196;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1132;2.3.8.7;Wasserlauf < 1mm Kartenbreite;Punkt;1132;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1132;;Wasserlauf < 1mm Kartenbreite;Linie;1132;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1232;2.3.8.8;Wasserlauf < 1mm Kartenbreite;Text;1232;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1197;;verdeckter Wasserlauf;Linie;1197;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1133;2.3.9.1;Mauer (Uferbefestigung);Punkt;1133;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1133;;Mauer (Uferbefestigung);Linie;1133;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1233;;Mauer (Uferbefestigung);Text;1233;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1134;;Fließrichtungspfeil;Punkt;1134;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1135;;Ein-/Auslauf für Wasserlauf < 1mm Kartenbreite;Punkt;1135;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1136;;Bauwerke allgemeiner Art (außer Gebäude);Punkt;1136;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1136;;Bauwerke allgemeiner Art (außer Gebäude);Linie;1136;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1236;;Bauwerke allgemeiner Art (außer Gebäude);Text;1236;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1137;2.5.5.;Brunnen;Punkt;1137;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1138;;Wasserlauf – verrohrt;Punkt;1138;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1138;;Wasserlauf – verrohrt;Linie;1138;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1238;;Wasserlauf – verrohrt;Text;1238;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
03.02.16;Best.1139;2.3.8.;Fließrichtungspfeil;Punkt;1139;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1140;2.3.10.;Wasserspiegel;Punkt;1140;11Nutzung;Nutzung außerhalb des Straßenflurstückes;Bestandsplan;;;;;
03.02.16;Best.1240;;Wasserspiegel;Text;1240;12T_Nutzung;Textschicht für Schicht 11Nutzung;Bestandsplan;;;;;
