Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;;;;;;;;;;;;;;;;;;;
07.04.09;#041.F001;;DGM - Umring;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#041.F002;;DGM - Inring;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F001;;Böschungsoberkante, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F002;;Böschungsunterkante, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F005;;Zuordnungsstrich, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F006;;Geländer, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F007;;Straßengraben allgemein, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F008;;Weg < 1m , verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F009;;Wegseite unbefestigt, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F010;;Gehsteig an Straßen, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F011;;Geh und Radweg, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F012;;Radweg an Straßen, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F013;;Hochbord, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F014;;Tiefbord abgesenkter Bord, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F015;;Abweisende Schutzeinrichtung (einseitig), rechts, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F016;2.3.2.4;Abweisende Schutzeinrichtung (zweiseitig) mittig, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F017;;Eisenbahn, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F018;;Brückenerfassung, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F019;;Uferline fest, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
10.06.09;#051.F020;;veränderliche Uferlinie, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F021;;Graben, Bach < 1m, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F022;;Wasserlaufseite > 1 m, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F023;;Zaun, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F024;;Mauer mit topografischer Bedeutung rechts, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F025;;Mauer mit topografischer Bedeutung mittig, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#051.F026;;Stützmauer Futtermauer, verdeckt;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F001;;DGM - Bruchkanten;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F002;;DGM - Bruchkanten, geschlossen;Linie;;;;;;;;;;;;;;;;;;;;;
07.04.09;#061.F003;;DGM - Böschungsoberkante;Linie;;;;;;;;;;;;;;;;;;;;;
