Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Status;Objektart;Attribut Verkehr;Attribut Ver-/Entsorgung;Attribut Ver-/Entsorgung unterirdisch;;
29.01.13;#0001.F201;;Umring Vermessung Kernbereich;Linie;750;Digitalisiert;Umring;;;;;
29.01.13;#0001.F201;;Umring Vermessung Kernbereich;Text;750;Digitalisiert;Umring;;;;;
01.01.15;#0001.F201;;Fläche Vermessung Kernbereich;Flaeche;750;Digitalisiert;Umring;;;;;
29.01.13;#0001.F202;;Umring Vermessung Außenbereich;Linie;751;Digitalisiert;Umring;;;;;
29.01.13;#0001.F202;;Umring Vermessung Außenbereich;Text;751;Digitalisiert;Umring;;;;;
01.01.15;#0001.F202;;Fläche Vermessung Außenbereich;Flaeche;751;Digitalisiert;Umring;;;;;
29.01.13;#0001.F203;;Umring Vermessung Detailbereich;Linie;752;Digitalisiert;Umring;;;;;
29.01.13;#0001.F203;;Umring Vermessung Detailbereich;Text;752;Digitalisiert;Umring;;;;;
01.01.15;#0001.F203;;Fläche Vermessung Detailbereich;Flaeche;752;Digitalisiert;Umring;;;;;
29.01.13;#0001.F204;;Umring Katasterdaten;Linie;753;Digitalisiert;Umring;;;;;
29.01.13;#0001.F204;;Umring Katasterdaten;Text;753;Digitalisiert;Umring;;;;;
01.01.15;#0001.F204;;Fläche Katasterdaten;Flaeche;753;Digitalisiert;Umring;;;;;
29.01.13;#0001.F205;;Umring A+E Flächen;Linie;754;Digitalisiert;Umring;;;;;
29.01.13;#0001.F205;;Umring A+E Flächen;Text;754;Digitalisiert;Umring;;;;;
01.01.15;#0001.F205;;Fläche A+E Flächen;Flaeche;754;Digitalisiert;Umring;;;;;
29.01.13;#0001.F206;;Umring Ergänzung/Nachmessung;Linie;755;Digitalisiert;Umring;;;;;
29.01.13;#0001.F206;;Umring Ergänzung/Nachmessung;Text;755;Digitalisiert;Umring;;;;;
01.01.15;#0001.F206;;Fläche Ergänzung/Nachmessung;Flaeche;755;Digitalisiert;Umring;;;;;
29.01.13;#0001.F207;;Umring Dritte;Linie;757;Digitalisiert;Umring;;;;;
29.01.13;#0001.F207;;Umring Dritte;Text;757;Digitalisiert;Umring;;;;;
01.01.15;#0001.F207;;Fläche Daten Dritter;Flaeche;757;Digitalisiert;Umring;;;;;
29.01.13;#0001.F208;;Umring Feldvergleich;Linie;756;Digitalisiert;Umring;;;;;
